state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
FL,Davie,105149.0,26.0789,-80.287,59680.0,12.6,90.6,80.1,8.0,0.3,4.6,29.1
FL,Daytona Beach,68055.0,29.1994,-81.0982,34623.0,21.6,90.8,76.15,18.099999999999998,0.30000000000000004,2.25,4.4
FL,DeLand,32506.0,29.0224,-81.2873,29728.0,31.75,80.30000000000001,47.35,43.349999999999994,0.65,1.0999999999999999,13.45
FL,Deland,4178.0,,,29728.0,31.75,80.30000000000001,47.35,43.349999999999994,0.65,1.0999999999999999,13.45
FL,Delray Beach,68749.0,26.455,-80.0905,50136.0,17.8,85.5,65.7,28.0,0.2,1.8,9.5
FL,Deltona,194061.0,28.905,-81.2136,42077.0,16.4,88.2,76.7,10.9,0.5,1.3,30.2
FL,Dundee,4497.0,28.0115,-81.5995,40131.0,28.6,80.3,60.6,25.2,0.6,1.7,21.3
FL,Edgewater,22399.0,28.962,-80.9415,44155.0,12.6,90.1,94.1,2.6,0.3,0.9,3.4
FL,Elkton,4178.0,,,,,,,,,,
FL,Englewood,15169.0,26.9603,-82.3535,42500.0,10.5,91.4,97.1,0.3,0.2,0.7,2.5
FL,Eustis,20827.0,28.856,-81.6781,35265.0,25.3,86.3,74.9,17.4,0.4,1.2,11.9
FL,Floral City,5188.0,28.7065,-82.309,32326.0,13.6,83.9,96.2,1.3,0.5,0.3,3.2
FL,Florida City,12155.0,25.4418,-80.4685,25840.0,48.7,54.6,39.1,52.4,0.2,0.3,42.4
FL,Fort Lauderdale,180072.0,26.1412,-80.1464,50778.0,20.7,85.9,62.6,31.0,0.3,1.5,13.7
FL,Fort Myers,79943.0,26.6195,-81.8303,44448.0,11.8,80.3,84.4,4.7,0.3,1.3,20.0
FL,Fort Pierce,45581.0,27.4256,-80.343,25635.0,36.6,73.9,45.3,40.9,0.5,0.8,21.6
FL,Fort Walton Beach,21895.0,30.4249,-86.6193,47149.0,17.5,89.2,77.7,12.3,0.7,3.2,7.9
FL,Fountain,4178.0,,,,,,,,,,
FL,Fruitland Park,8181.0,28.8601,-81.9191,39625.0,17.3,85.0,84.7,9.4,0.2,1.5,7.7
FL,Ft. Lauderdale,4178.0,,,,,,,,,,
FL,Gainesville,199695.0,29.6804,-82.3458,31818.0,35.6,92.1,64.9,23.0,0.3,6.9,10.0
FL,Gifford,9683.0,27.6747,-80.4102,30407.0,30.7,82.5,49.7,43.7,0.3,0.6,8.5
FL,Grant-Valkaria,4207.0,27.9322,-80.5655,59038.0,6.6,95.2,91.4,3.9,0.5,1.6,4.6
FL,Hallandale Beach,39831.0,25.9854,-80.1423,34216.0,22.1,85.8,73.7,18.7,0.2,1.4,31.8
FL,Hernando,8254.0,28.9451,-82.3781,39130.0,23.0,90.5,95.9,1.4500000000000002,0.4,0.45,3.9
FL,Hialeah,239673.0,25.8696,-80.3046,35420.5,22.6,73.30000000000001,92.75,2.45,0.1,0.55,94.80000000000001
FL,Hog Valley,4178.0,,,,,,,,,,
FL,Holiday,20745.0,28.1864,-82.7429,32129.0,21.1,83.7,89.5,4.1,0.5,1.4,10.0
FL,Hollywood,153627.0,26.0294,-80.1679,46791.0,15.9,86.9,72.7,16.7,0.4,2.4,32.6
FL,Homestead,69907.0,25.4665,-80.4472,26246.0,63.699999999999996,70.0,53.75,37.9,0.35,0.7,48.3
FL,Immokalee,25686.0,26.4253,-81.4251,26684.0,43.9,41.3,43.2,18.9,1.0,0.2,75.6
FL,Indialantic,2894.0,28.087,-80.57,65305.0,12.9,97.3,94.7,0.5,0.2,1.7,5.3
FL,Indian River County,4178.0,,,,,,,,,,
FL,Indiantown,5722.0,27.0375,-80.4913,36098.0,25.3,55.9,48.9,14.6,3.4,0.2,64.6
FL,Jacksonsville,4178.0,,,,,,,,,,
FL,Jacksonville,1156291.0,30.3322,-81.6749,54496.5,13.2,92.2,75.15,17.3,0.30000000000000004,3.0,6.0
FL,Jupiter,64976.0,26.9199,-80.1128,86435.0,7.449999999999999,95.5,94.6,1.35,0.2,1.5,7.75
FL,Kendale Lakes,59812.0,25.7081,-80.4078,48818.0,13.8,84.2,92.1,2.2,0.1,1.4,86.5
FL,Lady Lake,15317.0,28.924,-81.93,39185.0,14.2,89.0,90.8,5.1,0.4,1.1,4.3
FL,Lake Asbury,4178.0,,,,,,,,,,
FL,Lake Mary,16474.0,28.7592,-81.336,80425.0,4.95,95.44999999999999,88.75,3.65,0.44999999999999996,3.75,10.45
FL,Lake Wales,16066.0,27.9195,-81.5961,36296.0,28.9,77.8,65.0,27.5,0.5,0.8,15.6
FL,Lakeland,291281.0,28.0557,-81.9545,60940.5,11.5,90.9,81.19999999999999,12.149999999999999,0.25,1.9500000000000002,10.25
FL,Lakes Wales,4178.0,,,,,,,,,,
FL,Lantana,11824.0,26.5834,-80.0564,44786.0,24.0,81.2,69.3,22.0,0.4,1.5,18.6
FL,Largo,84754.0,27.9088,-82.7712,39468.0,16.2,88.0,86.3,5.6,0.3,2.7,9.0
FL,Lauderdale Lakes,36069.0,26.1682,-80.2017,31497.0,25.8,75.5,14.2,80.6,0.2,1.2,5.4
FL,Lauderhill,71970.0,26.1605,-80.2242,37429.0,23.1,83.3,18.2,75.9,0.3,1.6,7.4
FL,Lawtey,723.0,30.0484,-82.0724,30769.0,29.1,75.5,60.7,35.9,0.4,0.4,2.1
FL,Lealman,20755.0,27.8197,-82.6847,30304.0,29.1,77.5,78.6,8.5,0.5,6.9,9.5
FL,Leesburg,148161.0,28.7658,-81.8995,34305.0,22.3,83.7,63.5,28.2,0.3,1.7,9.0
FL,Lehigh Acres,116849.0,26.612,-81.6388,40226.0,21.8,77.6,67.5,19.3,0.4,1.2,34.3
FL,Little Havana,4178.0,,,,,,,,,,
FL,Loxahatchee,4178.0,,,69394.0,7.9,84.6,87.2,3.3,1.4,1.6,18.7
FL,Manatee,4178.0,,,34542.0,27.9,79.2,95.0,1.5,0.4,0.4,3.4
FL,Mandarin,4178.0,,,,,,,,,,
FL,Mascotte,5616.0,28.611,-81.9106,44722.0,14.6,69.7,60.4,11.8,0.9,1.5,47.3
FL,Melbourne,82011.0,28.1085,-80.6627,65000.0,7.7,93.1,96.7,0.5,0.3,1.7,3.3
FL,Mexico Beach,1198.0,29.948,-85.4157,53553.0,13.5,92.4,93.1,1.9,0.4,0.7,2.6
FL,Miami,6381966.0,25.7839,-80.2102,49015.0,15.0,86.05000000000001,80.0,11.8,0.25,1.35,61.5
FL,Miami Beach,92307.0,25.8171,-80.1396,44342.0,17.7,87.2,87.4,4.4,0.3,1.9,53.0
FL,Miami Gardens,113750.0,25.9433,-80.2426,38253.0,23.1,80.3,18.3,76.3,0.2,0.6,22.0
FL,Miami-Dade,4178.0,,,,,,,,,,
FL,Micanopy,631.0,29.506,-82.2806,36652.0,12.7,87.6,74.2,22.2,1.3,0.2,2.8
FL,Middleburg,13316.0,30.0502,-81.9011,48430.0,16.8,83.5,92.9,3.1,0.6,0.7,4.1
FL,Midway,3326.0,30.4992,-84.4582,49444.0,15.2,90.5,10.3,84.9,0.2,0.9,4.6
FL,Milton,9986.0,30.6286,-87.0522,46040.0,15.0,90.8,77.4,13.9,0.7,2.2,4.8
FL,Miramar,140328.0,25.9773,-80.3351,57745.0,7.75,92.9,67.4,23.400000000000002,0.25,3.5,20.65
FL,Mulberry,4118.0,27.9058,-81.9873,33708.0,20.6,80.1,79.5,14.6,0.3,0.5,12.8
FL,Naples,21948.0,26.1505,-81.7936,49022.0,12.4,88.5,88.5,4.2,0.2,0.6,22.6
FL,Navarre,34085.0,30.4174,-86.8907,75074.0,6.0,96.9,88.55000000000001,3.55,0.5,2.45,5.85
FL,Niceville,15249.0,30.529,-86.4753,58954.0,14.0,94.4,87.2,4.2,0.6,3.2,4.7
FL,Nokomis,3376.0,27.1227,-82.437,38545.0,18.7,89.3,95.9,0.9,0.3,1.2,4.4
FL,Noma,206.0,30.9802,-85.6223,30750.0,29.8,70.1,77.7,21.3,0.0,0.0,0.0
FL,North Escambia,4178.0,,,,,,,,,,
FL,North Fort Myers,40916.0,26.7243,-81.8491,38617.0,13.3,87.7,94.7,1.5,0.4,0.6,6.2
FL,North Miami Beach,44124.0,25.9302,-80.166,38387.0,23.2,80.1,47.1,41.4,0.2,3.4,36.6
FL,North Port,195992.0,27.0577,-82.1975,52571.0,12.8,90.5,87.6,7.0,0.3,1.2,8.7
FL,Oakland Park,45035.0,26.178,-80.1528,45357.0,20.2,82.8,62.6,25.6,0.3,2.0,25.6
FL,Ocala,164712.0,29.178,-82.1511,35924.0,22.6,86.1,70.7,20.9,0.3,2.6,11.7
FL,Old Town,4178.0,,,,,,,,,,
FL,Olustee,4178.0,,,,,,,,,,
FL,Opa-Locka,4178.0,,,18134.0,44.8,69.3,27.7,65.8,0.2,0.2,35.3
FL,Orange City,11697.0,28.9349,-81.2882,32788.0,21.7,87.6,85.7,6.5,0.4,1.5,16.9
FL,Orange County,4178.0,,,,,,,,,,
FL,Orange Park,8705.0,30.1706,-81.7041,47548.0,8.7,92.6,75.9,14.8,0.3,3.2,8.8
FL,Orlando,1776841.0,28.4772,-81.3369,42318.0,20.2,89.5,57.6,28.1,0.4,3.8,25.4
FL,Ormond Beach,42816.0,29.296,-81.1003,46567.0,12.1,93.9,92.2,3.2,0.2,2.3,4.1
FL,Osteen,4178.0,,,,,,,,,,
FL,Palatka,23597.0,29.6493,-81.6704,20837.0,43.2,77.8,46.3,49.8,0.3,0.6,4.6
FL,Palm Bay,489912.0,27.955,-80.6628,43163.0,17.6,87.6,72.9,17.9,0.5,1.8,14.1
FL,Palm Beach Gardens,55036.0,26.8486,-80.166,68802.0,6.5,94.9,89.3,4.4,0.2,3.1,8.9
FL,Palm Harbor,61553.0,28.0847,-82.7481,53281.0,8.4,95.5,93.5,2.0,0.2,1.6,5.9
FL,Palmetto,13661.0,27.5251,-82.5751,51588.0,16.6,84.8,72.1,10.5,0.1,3.3,38.6
FL,Panama City,145239.0,30.1995,-85.6003,45798.0,14.5,90.05000000000001,80.55,12.15,0.55,2.1500000000000004,5.449999999999999
FL,Panama City Beach,12757.0,30.2369,-85.8774,54406.0,7.8,92.9,89.5,2.3,0.6,2.7,5.8
FL,Pensacola,344400.0,30.4427,-87.1886,45527.0,15.7,91.7,66.3,28.0,0.6,2.0,3.3
FL,Pinellas Park,52854.0,27.8589,-82.7076,41494.0,14.5,86.4,81.7,4.7,0.3,7.3,10.7
FL,Plant City,38714.0,28.014,-82.1201,45083.0,17.0,81.0,69.5,15.1,0.6,1.4,28.8
FL,Plantation,93909.0,26.126,-80.2617,50236.5,21.2,89.1,84.05000000000001,7.8,0.4,1.0,11.75
FL,Poinciana,66465.0,28.1217,-81.482,39839.0,23.9,84.9,56.4,24.5,0.7,1.8,51.2
FL,Pompano Beach,110473.0,26.2428,-80.1312,41321.0,23.4,82.8,62.6,28.9,0.3,1.3,17.5
FL,Port Charlotte,59654.0,26.9918,-82.114,38896.0,14.5,87.1,84.8,9.3,0.3,1.6,8.7
FL,Port Orange,63203.0,29.1084,-81.0137,43353.0,14.3,89.6,91.3,3.3,0.3,2.2,4.5
FL,Port Richey,2831.0,28.2758,-82.725,39028.0,15.1,86.6,92.5,1.7,0.7,1.7,6.0
FL,Port St. Joe,3770.0,29.8267,-85.3069,41402.0,8.9,92.2,71.5,25.8,0.4,0.3,2.6
FL,Port St. Lucie,432589.0,27.2796,-80.3884,49813.0,15.0,87.2,74.3,16.3,0.4,2.0,18.4
FL,Putnam Hall,4178.0,,,,,,,,,,
FL,Quincy,8791.0,30.5659,-84.5857,33331.0,27.7,75.7,23.4,64.4,0.6,0.7,13.9
FL,Riverview,88191.0,27.8227,-82.3023,66497.0,9.5,91.9,70.2,17.0,0.4,3.1,21.0
FL,Rockledge,27476.0,28.3201,-80.732,57346.0,9.0,91.5,78.7,14.5,0.3,2.4,6.4
FL,Ruskin,22162.0,27.7065,-82.4209,47592.0,18.9,79.2,71.7,9.1,0.3,1.3,42.9
FL,Safety Harbor,17844.0,28.008,-82.6965,60056.0,9.3,93.0,89.7,4.5,0.2,2.6,5.8
FL,San Carlos Park,17597.0,26.4765,-81.8193,48593.0,15.7,83.8,86.4,2.9,0.4,1.4,24.0
FL,Sarasaota,4178.0,,,,,,,,,,
FL,Sarasota,706245.0,27.3386,-82.543,47287.0,15.05,89.55,84.05000000000001,8.5,0.35,1.15,13.75
FL,Sebring,62814.0,27.477,-81.453,25663.0,30.2,77.0,76.0,14.7,0.7,1.4,17.6
FL,Seville,646.0,29.3364,-81.5065,32933.0,61.3,72.0,56.8,24.1,1.1,0.3,26.9
FL,Sneads,1796.0,30.7085,-84.9249,31607.0,30.3,79.0,78.0,18.5,0.2,0.4,2.7
FL,Spring Hill,104722.0,28.4797,-82.53,41308.0,15.6,87.5,88.1,5.1,0.4,1.4,13.6
FL,Springfield,9437.0,30.1713,-85.6089,34167.0,26.2,78.3,66.0,23.8,0.7,3.8,5.8
FL,St. Augustine,75932.0,29.8977,-81.31,51516.0,8.5,92.30000000000001,94.75,1.7,0.25,1.2,4.699999999999999
FL,St. Cloud,51282.0,28.2294,-81.2829,50467.0,15.1,87.3,82.4,5.8,0.4,1.7,29.2
FL,St. Petersburg,263255.0,27.793,-82.6652,45748.0,17.2,89.5,68.7,23.9,0.3,3.2,6.6
FL,Starke,5593.0,29.9474,-82.1129,32500.0,22.1,78.6,65.8,29.2,0.3,1.1,3.8
FL,Sunrise,94323.0,26.1547,-80.2997,49806.0,13.1,88.1,56.4,31.8,0.3,4.1,25.6
FL,Tallahassee,253030.0,30.4551,-84.2527,39681.0,29.7,92.5,57.4,35.0,0.2,3.7,6.3
FL,Tamarac,65669.0,26.2057,-80.2549,43235.0,11.8,90.0,67.2,23.1,0.2,2.5,24.3
FL,Tampa,2804240.0,27.9942,-82.4451,44185.0,21.8,86.6,62.9,26.2,0.4,3.4,23.1
FL,Tarpon Springs,25331.0,28.1493,-82.7623,45104.0,14.0,88.8,88.1,6.4,0.3,1.4,7.3
FL,Temple Terrace,26489.0,28.0437,-82.3774,51984.0,17.7,93.4,68.0,19.5,0.4,5.5,14.7
FL,The Villages,74618.0,28.9021,-81.9888,56672.0,4.8,95.4,98.2,0.6,0.1,0.7,1.5
FL,Thonotosassa,13743.0,28.0464,-82.291,41739.0,21.5,83.6,76.7,15.6,0.5,1.7,11.8
FL,Titusville,57497.0,28.5727,-80.8193,40830.0,18.8,90.2,80.8,13.5,0.5,1.4,6.5
FL,Vero Beach,16919.0,27.6463,-80.393,42025.0,16.7,88.45,88.2,5.05,0.35,1.7000000000000002,10.1
FL,Viera,4178.0,,,76187.0,5.300000000000001,96.05,86.55000000000001,5.15,0.2,4.0,9.100000000000001
FL,Weeki Wachi,4178.0,,,,,,,,,,
FL,Wellington,64848.0,26.6464,-80.2706,81047.0,8.2,94.7,80.0,10.4,0.2,3.8,19.4
FL,West Kendall,4178.0,,,,,,,,,,
FL,West Palm Beach,110222.0,26.7469,-80.1316,45800.0,20.0,84.4,56.7,32.5,0.5,2.3,22.6
FL,Winter Haven,245237.0,28.0118,-81.7017,37300.0,18.4,84.7,64.7,27.7,0.3,2.0,11.0
FL,Yulee,12244.0,30.635,-81.5678,54419.0,11.5,87.6,90.5,5.6,0.4,0.9,3.1
GA,Acworth,22698.0,34.0565,-84.6709,53080.0,9.6,90.7,62.5,25.6,0.3,3.5,12.4
GA,Adel,6964.0,31.1271,-83.4232,35301.0,30.3,75.9,46.9,45.4,0.2,1.0,7.9
GA,Albany,90515.0,31.5776,-84.1762,29676.0,33.8,79.9,25.2,71.6,0.2,0.8,2.1
GA,Arlington,1387.0,31.4383,-84.7253,21429.0,37.5,71.2,21.7,76.1,0.2,0.0,1.6
GA,Athens,140169.0,33.9508,-83.3689,,,,,,,,
GA,Atlanta,5228750.0,33.7627,-84.4225,47527.0,24.6,89.0,38.4,54.0,0.2,3.1,5.2
GA,Augusta,389383.0,33.3645,-82.0708,,,,,,,,
GA,Austell,7215.0,33.8202,-84.6452,47378.0,17.2,84.2,33.0,55.4,0.2,1.5,11.9
GA,Bainbridge,11558.0,30.9046,-84.5722,25429.0,31.2,80.3,41.1,54.7,0.3,0.8,4.1
GA,Barrow County,4178.0,,,,,,,,,,
GA,Bibb County,4178.0,,,,,,,,,,
GA,Bonaire,4178.0,,,,,,,,,,
GA,Brooklet,1612.0,32.3898,-81.6668,55185.0,10.5,93.2,85.1,11.5,0.4,0.3,1.6
GA,Buford,14868.0,34.1187,-83.9915,47354.0,19.2,73.8,65.8,13.8,0.3,2.9,25.5
GA,Byron,5170.0,32.6475,-83.754,53491.0,11.5,94.6,65.4,29.0,0.2,1.8,3.9
GA,Calhoun,33029.0,34.4917,-84.9391,34814.0,24.3,68.8,73.3,6.8,0.5,1.7,25.0
GA,Carnesville,604.0,34.3723,-83.2336,30625.0,35.4,81.9,82.3,14.7,0.0,0.7,2.1
GA,Carroll County,4178.0,,,,,,,,,,
GA,Carrollton,47140.0,33.5818,-85.0837,34055.0,28.7,78.3,58.4,31.9,0.4,1.4,10.8
GA,Cartersville,55794.0,34.1632,-84.8007,47611.0,14.9,81.2,70.8,18.5,0.4,1.0,12.7
GA,Cedartown,12744.0,34.0225,-85.248,26897.0,31.0,62.5,56.5,18.8,0.5,1.0,31.0
GA,Chamblee,29428.0,33.8842,-84.3008,47379.0,28.6,73.1,45.1,7.0,2.1,8.0,58.5
GA,Chatham County,4178.0,,,,,,,,,,
GA,Clarkesville,1828.0,34.6103,-83.5284,38558.0,17.8,88.2,90.3,4.8,0.2,1.1,5.5
GA,Claxton,3500.0,32.1613,-81.9093,31667.0,30.3,77.3,48.0,42.0,0.0,1.0,9.6
GA,Clayton,3706.0,34.8775,-83.4027,28081.0,19.6,79.1,85.1,1.5,0.5,0.7,20.8
GA,Cobb County,4178.0,,,,,,,,,,
GA,Cochran,6024.0,32.3875,-83.3523,30273.0,38.1,75.1,48.2,48.5,0.1,1.6,1.8
GA,Columbus,259160.0,32.51,-84.8771,42306.0,20.5,86.4,46.3,45.5,0.4,2.2,6.4
GA,Commerce,6965.0,34.2127,-83.4729,40767.0,23.2,76.1,79.1,13.5,0.4,1.1,7.7
GA,Conyers,16015.0,33.6645,-83.9967,37293.0,27.8,82.4,29.9,56.6,0.3,1.4,16.3
GA,Covington,14044.0,33.6049,-83.8465,36678.0,25.1,77.8,46.8,47.4,0.2,0.7,5.5
GA,Cumming,6284.0,34.2064,-84.1337,43491.0,20.7,81.1,76.6,2.9,0.5,1.4,31.4
GA,Cuthbert,3558.0,31.7713,-84.794,23800.0,37.5,67.5,19.5,78.8,0.1,0.5,1.7
GA,Dahlonega,6432.0,34.5302,-83.9796,35477.0,20.3,86.8,91.3,3.1,0.4,1.2,6.0
GA,Dalton,86841.0,34.7691,-84.9712,35074.0,23.8,61.9,65.0,6.4,0.6,2.4,48.0
GA,DeKalb County,4178.0,,,,,,,,,,
GA,Decatur,23832.0,33.7711,-84.2968,81970.0,14.9,95.4,73.5,20.2,0.2,2.9,3.2
GA,Douglas,13960.0,31.5065,-82.8543,31465.0,25.8,78.0,41.6,52.0,0.2,0.9,6.3
GA,Douglasville,33675.0,33.7384,-84.7068,47707.0,19.1,88.7,36.0,55.9,0.2,1.8,7.2
GA,Dunwoody,49609.0,33.9418,-84.3122,79959.0,9.8,93.5,69.8,12.6,0.3,11.1,10.3
GA,East Point,35282.0,33.6696,-84.47,37049.0,27.9,84.7,16.1,74.6,0.4,0.8,11.5
GA,Eden,4178.0,,,,,,,,,,
GA,Elberton,5515.0,34.1064,-82.8706,25763.0,32.9,74.4,50.7,44.4,0.3,1.0,5.8
GA,Floyd County,4178.0,,,,,,,,,,
GA,Forest Park,19823.0,33.6209,-84.359,31228.0,34.1,65.5,31.7,37.7,0.5,7.9,34.3
GA,Fort Valley,9515.0,32.5522,-83.8817,20962.0,45.2,74.1,13.6,81.6,0.2,0.3,5.8
GA,Gainesville,156248.0,34.2902,-83.8303,40706.0,28.3,71.2,54.2,15.2,0.6,3.2,41.6
GA,Glennville,4509.0,31.9382,-81.9305,43408.0,24.0,75.0,63.2,31.4,0.6,1.1,5.0
GA,Glenwood,742.0,32.1805,-82.6709,16118.0,40.8,82.8,54.5,40.7,0.5,0.8,2.4
GA,Greenville,842.0,33.0322,-84.7162,25347.0,40.8,77.2,22.9,73.2,0.6,1.3,0.5
GA,Griffin,22770.0,33.2418,-84.2747,30652.0,33.1,76.8,42.8,52.2,0.3,1.1,4.0
GA,Grovetown,14109.0,33.4504,-82.2073,55060.0,15.8,85.4,57.6,30.0,0.6,1.4,13.8
GA,Habersham,4178.0,,,,,,,,,,
GA,Hall County,4178.0,,,,,,,,,,
GA,Hampton,7732.0,33.3835,-84.2854,43838.0,32.4,80.9,52.7,39.0,0.2,0.8,8.6
GA,Henry County,4178.0,,,,,,,,,,
GA,Hiram,3984.0,33.8771,-84.771,49757.0,12.0,90.1,60.8,32.0,0.3,1.0,7.5
GA,Hogansville,3105.0,33.1674,-84.9027,27056.0,29.7,76.5,53.2,43.2,0.3,0.4,2.5
GA,Jackson,5271.0,33.292,-83.9678,34846.0,22.8,72.8,55.3,40.9,0.2,0.5,2.9
GA,Jesup,12090.0,31.5991,-81.8898,32188.0,31.6,84.0,53.1,40.1,0.6,0.9,9.2
GA,Johns Creek,84350.0,34.0333,-84.2026,105417.0,4.7,95.4,63.5,9.2,0.1,23.4,5.2
GA,Kingsland,17077.0,30.8193,-81.7219,57449.0,8.9,92.3,69.3,23.1,0.5,2.3,5.5
GA,LaGrange,35918.0,33.0274,-85.0384,32582.0,30.2,80.4,44.5,48.0,0.2,2.5,4.7
GA,Lake Lanier,4178.0,,,,,,,,,,
GA,Lawrenceville,29873.0,33.9525,-83.9928,41743.0,24.4,81.3,48.0,32.0,0.6,5.7,22.3
GA,Leesburg,3765.0,31.7325,-84.1687,56964.0,19.9,84.3,70.6,25.5,0.2,1.0,2.5
GA,Lizella,4178.0,,,,,,,,,,
GA,Locust Grove,6715.0,33.3436,-84.1066,44342.0,9.0,80.3,55.7,37.4,0.3,1.7,5.3
GA,Loganville,12062.0,33.8353,-83.8957,57045.0,9.2,87.4,70.0,22.1,0.3,2.3,6.8
GA,Ludowici,2210.0,31.7096,-81.7457,37250.0,14.9,82.3,61.8,32.0,0.6,0.5,3.9
GA,Lumpkin,1159.0,32.0487,-84.798,24659.0,36.3,75.2,15.4,33.2,0.2,1.0,51.1
GA,Mableton,39745.0,33.8132,-84.5656,54919.0,17.6,84.1,45.6,39.5,0.7,2.2,18.5
GA,Macon,152663.0,32.8065,-83.6974,,,,28.6,67.9,0.2,0.8,2.5
GA,Marietta,61048.0,33.9532,-84.5422,44953.0,20.2,86.3,52.7,31.5,0.5,3.0,20.6
GA,McIntosh County,4178.0,,,,,,,,,,
GA,Molena,372.0,33.0118,-84.5002,29643.0,30.6,83.0,74.2,22.8,0.0,0.5,1.4
GA,Monroe,16153.0,33.799,-83.716,33097.0,31.7,77.8,53.3,42.4,0.1,0.8,3.4
GA,Monticello,2535.0,33.3075,-83.6863,33813.0,34.7,82.4,40.2,56.5,0.3,0.3,4.0
GA,Morrow,7473.0,33.5816,-84.3392,48230.0,16.2,73.8,22.1,45.5,0.3,25.5,9.5
GA,Moultrie,18536.0,31.1591,-83.7708,25181.0,36.0,72.3,42.6,49.5,0.3,0.7,10.2
GA,Newnan,38909.0,33.3765,-84.776,50052.0,22.6,87.5,58.9,30.2,0.3,2.6,11.0
GA,Paulding County,4178.0,,,,,,,,,,
GA,Peachtree City,35262.0,33.3943,-84.5711,85420.0,7.5,95.5,82.3,7.4,0.3,5.3,7.1
GA,Pearson,2093.0,31.297,-82.8544,23527.0,31.4,58.1,39.0,31.7,0.3,0.5,38.6
GA,Port Wentworth,8534.0,32.1942,-81.1984,61643.0,4.8,92.1,61.1,31.4,0.2,1.7,8.2
GA,Porterdale,1481.0,33.5739,-83.894,32813.0,26.7,73.5,66.5,27.5,0.4,0.1,4.2
GA,Powder Springs,15052.0,33.866,-84.6839,55528.0,18.7,88.1,41.6,49.9,0.2,1.1,9.1
GA,Rincon,13572.0,32.2945,-81.2354,62203.0,13.6,89.5,71.8,21.1,0.3,1.9,4.8
GA,Riverdale,16439.0,33.5639,-84.4103,34158.0,29.5,85.6,8.0,80.0,0.3,6.8,6.0
GA,Rockville,4178.0,,,,,,,,,,
GA,Rossville,3984.0,34.9747,-85.2898,32182.0,34.3,68.1,88.1,8.0,0.3,0.4,2.8
GA,Roswell,94786.0,34.0391,-84.3513,82150.0,9.3,93.1,74.7,11.7,0.3,4.0,16.6
GA,Salacoa,4178.0,,,,,,,,,,
GA,Sandy Springs,106739.0,33.9366,-84.3703,63917.0,12.3,94.1,65.0,20.0,0.3,5.0,14.2
GA,Savannah,280082.0,32.0281,-81.1785,36466.0,26.5,86.0,38.3,55.4,0.3,2.0,4.7
GA,Smyrna,56685.0,33.8633,-84.5168,62363.0,13.4,90.5,53.8,31.6,0.4,4.9,14.9
GA,Snellville,19738.0,33.8561,-84.0038,60347.0,13.3,94.3,61.0,30.0,0.3,3.3,7.4
GA,Spalding County,4178.0,,,,,,,,,,
GA,Stockbridge,29114.0,33.5253,-84.2294,54283.0,15.4,87.7,28.8,55.7,0.3,7.6,9.5
GA,Stone Mountain,6368.0,33.8034,-84.1724,36729.0,20.9,86.6,16.8,75.2,0.4,3.3,5.3
GA,Sylvester,6350.0,31.53,-83.8338,28414.0,28.7,74.0,38.5,59.6,0.0,0.6,1.1
GA,Talking Rock,69.0,34.5279,-84.4939,42500.0,6.7,76.7,100.0,0.0,0.0,0.0,0.0
GA,Thomas County,4178.0,,,,,,,,,,
GA,Thomasville,24271.0,30.8394,-83.9783,31679.0,27.9,82.4,43.0,53.8,0.3,0.8,2.3
GA,Tyrone,7336.0,33.4752,-84.5941,82500.0,11.8,91.6,67.5,25.3,0.2,3.4,3.6
GA,Union City,21370.0,33.5942,-84.5628,34966.0,27.1,85.9,11.1,82.3,0.2,0.9,7.0
GA,Valdosta,79294.0,30.8502,-83.2788,29336.0,35.0,82.6,43.3,51.1,0.3,1.7,4.0
GA,Walton County,4178.0,,,,,,,,,,
GA,White,723.0,34.2824,-84.7472,35005.5,13.05,87.25,72.35,21.95,0.0,0.0,5.7
GA,Whitfield County,4178.0,,,,,,,,,,
GA,Woodstock,31564.0,34.1026,-84.5085,68504.0,7.0,95.5,79.3,10.2,0.2,4.5,9.7
GA,Woodville,352.0,33.6714,-83.1063,34643.0,31.1,74.3,29.3,68.8,0.0,0.3,1.2
HI,Aiea,9332.0,21.3865,-157.9232,95428.0,5.9,93.8,15.0,0.7,0.1,57.7,6.2
HI,Hilo,45703.0,19.6886,-155.0864,53939.0,18.3,92.5,17.6,0.5,0.3,34.3,10.4
HI,Honolulu,833671.0,21.3294,-157.846,,,,,,,,
HI,Kahuku,2353.0,21.6793,-157.9473,74167.0,15.3,86.9,8.6,0.4,0.1,25.3,6.7
HI,Kalihi,4178.0,,,,,,,,,,
HI,Keaau,2627.0,19.6156,-155.0372,51429.0,13.5,85.1,12.4,0.2,0.2,52.0,8.7
HI,Maui,4178.0,,,,,,,,,,
HI,Nanakuli,11757.0,21.3892,-158.1445,63453.0,16.6,89.6,4.8,0.8,0.2,9.2,11.8
HI,North Shore,4178.0,,,,,,,,,,
HI,Pahoa,772.0,19.4961,-154.9454,31442.0,26.2,93.2,14.9,0.4,1.5,43.5,6.6
HI,Papaaloa,4178.0,,,,,,,,,,
HI,Puna,4178.0,,,,,,,,,,
HI,Wailuku,16995.0,20.8834,-156.5059,69768.0,12.7,91.2,21.0,0.6,0.3,37.2,10.3
