state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
CA,Orosi,7760.0,36.5434,-119.2903,34724.0,26.6,44.1,44.0,0.7,0.6,9.2,86.7
CA,Oroville,45655.0,39.4999,-121.5634,42091.5,18.4,84.69999999999999,78.85,2.2,4.75,5.8,10.5
CA,Oxnard,389792.0,34.1962,-119.1819,60621.0,16.6,65.6,48.2,2.9,1.5,7.4,73.5
CA,Pacific Beach,4178.0,,,,,,,,,,
CA,Palermo,5713.0,39.4313,-121.5226,39366.0,24.3,71.6,72.5,0.7,4.1,4.6,23.8
CA,Palm Desert,52932.0,33.7378,-116.3695,52892.0,10.8,91.3,82.5,1.8,0.5,3.4,22.8
CA,Palm Springs,48142.0,33.8017,-116.5382,44075.0,18.9,87.5,75.7,4.4,1.0,4.4,25.3
CA,Palmdale,157519.0,34.5944,-118.1057,52392.0,21.3,74.2,49.0,14.8,0.9,4.3,54.4
CA,Palo Alto,67178.0,37.3913,-122.1467,136519.0,5.4,97.4,64.2,1.9,0.2,27.1,6.2
CA,Panorama City,4178.0,,,,,,,,,,
CA,Paradise,35337.0,39.7558,-121.6063,49861.0,6.5,99.3,92.0,0.4,1.1,1.3,7.0
CA,Pasadena,142647.0,34.1597,-118.139,72402.0,15.3,87.4,55.8,10.7,0.6,14.3,33.7
CA,Paso Robles,4178.0,,,,,,,,,,
CA,Perris,77879.0,33.7899,-117.2233,49325.0,25.3,63.6,42.3,12.1,0.9,3.6,71.8
CA,Pico Rivera,63522.0,33.9902,-118.0888,55752.0,13.7,68.2,59.4,1.0,1.4,2.6,91.2
CA,Pinion Hills,4178.0,,,,,,,,,,
CA,Pittsburg,72141.0,38.0185,-121.897,60777.0,17.9,79.5,36.5,17.7,0.8,15.6,42.4
CA,Pleasanton,83007.0,37.6663,-121.8805,124759.0,4.4,95.2,67.0,1.7,0.3,23.2,10.3
CA,Point Loma,4178.0,,,,,,,,,,
CA,Pomona,152939.0,34.0585,-117.7626,49186.0,22.1,67.5,48.0,7.3,1.2,8.5,70.5
CA,Porterville,76729.0,36.0644,-119.0338,38456.0,30.9,66.9,58.8,1.2,1.9,4.7,61.9
CA,Poway,50041.0,32.9872,-117.0201,95815.0,6.0,93.0,76.9,1.6,0.6,10.2,15.7
CA,Rancho Cordova,73563.0,38.574,-121.2523,52530.0,17.2,89.3,60.4,10.1,1.0,12.1,19.7
CA,Rancho Mirage,18306.0,33.7634,-116.4271,66086.0,11.0,95.5,88.7,1.5,0.5,3.8,11.4
CA,Rancho Santa Margarita,48793.0,33.6317,-117.5989,105328.0,4.0,95.2,78.2,1.9,0.4,9.1,18.6
CA,Rancho Tehama Reserve,2259.0,40.001,-122.4418,27039.0,43.2,72.6,79.5,1.4,3.5,1.4,14.4
CA,Red Bluff,18709.0,40.1735,-122.2413,31239.0,24.0,85.3,80.7,0.9,3.1,1.3,21.6
CA,Redding,120270.0,40.5698,-122.365,43341.0,18.8,90.6,85.8,1.2,2.3,3.4,8.7
CA,Redlands,71554.0,34.0511,-117.1712,65212.0,14.3,90.4,69.0,5.2,0.9,7.6,30.3
CA,Redondo Beach,67908.0,33.8574,-118.3766,105145.0,4.7,95.8,74.6,2.8,0.4,12.0,15.2
CA,Redwood City,86685.0,37.5026,-122.2252,84934.0,9.4,84.6,60.2,2.4,0.7,10.7,38.8
